,FLUIFORT granules
2023-01-01,1268455.2807996273
2023-02-01,860951.3058182597
2023-03-01,1305418.9394723177
2023-04-01,885996.647572875
2023-05-01,690563.409142375
2023-06-01,1018232.1246594787
2023-07-01,664054.9372871518
2023-08-01,580343.4778357148
2023-09-01,1470655.1218070388
2023-10-01,1384963.65586555
2023-11-01,1348655.8772500753
2023-12-01,1879929.2455440164
2024-01-01,1766161.6859429479
2024-02-01,1326947.7853659391
2024-03-01,1049583.5495265126
2024-04-01,1024839.5131338239
2024-05-01,970814.0205776691
2024-06-01,1028424.7062386274
2024-07-01,831464.4370869994
2024-08-01,770518.3154626489
2024-09-01,1455330.8675290346
2024-10-01,1420802.0425437093
2024-11-01,1420701.7506033182
2024-12-01,1963814.341661632
